Month,State,Year,Num_of_Arrivals
January,ACT,1991,1990
January,NSW,1991,75630
January,NT,1991,1220
January,QLD,1991,42710
January,SA,1991,4930
January,TAS,1991,1410
January,Total,1991,177410
January,VIC,1991,28840
January,WA,1991,13790
February,ACT,1991,3740
February,NSW,1991,78340
February,NT,1991,1460
February,QLD,1991,42340
February,SA,1991,5780
February,TAS,1991,1800
February,Total,1991,190570
February,VIC,1991,33830
February,WA,1991,17410
March,ACT,1991,2270
March,NSW,1991,80520
March,NT,1991,710
March,QLD,1991,45860
March,SA,1991,6240
March,TAS,1991,1350
March,Total,1991,189180
March,VIC,1991,32020
March,WA,1991,15450
April,ACT,1991,1800
April,NSW,1991,68330
April,NT,1991,1860
April,QLD,1991,42900
April,SA,1991,4950
April,TAS,1991,710
April,Total,1991,168000
April,VIC,1991,25810
April,WA,1991,17160
May,ACT,1991,1230
May,NSW,1991,65380
May,NT,1991,2360
May,QLD,1991,43100
May,SA,1991,3610
May,TAS,1991,890
May,Total,1991,161400
May,VIC,1991,24750
May,WA,1991,15280
June,ACT,1991,1360
June,NSW,1991,64100
June,NT,1991,2060
June,QLD,1991,58800
June,SA,1991,2900
June,TAS,1991,980
June,Total,1991,172230
June,VIC,1991,22550
June,WA,1991,12930
July,ACT,1991,1960
July,NSW,1991,86770
July,NT,1991,2630
July,QLD,1991,61970
July,SA,1991,3920
July,TAS,1991,890
July,Total,1991,208310
July,VIC,1991,30170
July,WA,1991,12380
August,ACT,1991,1560
August,NSW,1991,87560
August,NT,1991,2630
August,QLD,1991,55210
August,SA,1991,3240
August,TAS,1991,890
August,Total,1991,199310
August,VIC,1991,28220
August,WA,1991,13260
September,ACT,1991,2330
September,NSW,1991,86500
September,NT,1991,1760
September,QLD,1991,50130
September,SA,1991,3830
September,TAS,1991,780
September,Total,1991,197360
September,VIC,1991,27990
September,WA,1991,16010
October,ACT,1991,2310
October,NSW,1991,90610
October,NT,1991,1700
October,QLD,1991,56010
October,SA,1991,6420
October,TAS,1991,920
October,Total,1991,215970
October,VIC,1991,32860
October,WA,1991,15900
November,ACT,1991,2390
November,NSW,1991,93940
November,NT,1991,1690
November,QLD,1991,54920
November,SA,1991,5680
November,TAS,1991,950
November,Total,1991,223860
November,VIC,1991,36350
November,WA,1991,18140
December,ACT,1991,2970
December,NSW,1991,110600
December,NT,1991,2040
December,QLD,1991,62200
December,SA,1991,7560
December,TAS,1991,1930
December,Total,1991,266750
December,VIC,1991,43180
December,WA,1991,25600
January,ACT,1992,1610
January,NSW,1992,86250
January,NT,1992,700
January,QLD,1992,50890
January,SA,1992,4180
January,TAS,1992,2040
January,Total,1992,196090
January,VIC,1992,28990
January,WA,1992,14570
February,ACT,1992,1720
February,NSW,1992,105340
February,NT,1992,1430
February,QLD,1992,54510
February,SA,1992,5710
February,TAS,1992,1860
February,Total,1992,238250
February,VIC,1992,40880
