State,Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Temporary Student Visas,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Other Visas(g),Australian Citizens
VIC,Jul-04,20780,2600,4360,6270,18440,2700,42980,660,1420,370,98950
VIC,Aug-04,18460,2460,4050,5230,2700,2090,38420,750,1300,280,78220
VIC,Sep-04,20910,2280,3830,6100,2010,2100,35410,1610,1320,300,94240
VIC,Oct-04,23180,2940,3880,6050,3920,2200,48490,1380,1510,340,103280
VIC,Nov-04,21060,2440,4260,4490,1970,2060,62830,1220,880,430,73890
VIC,Dec-04,20640,2440,3940,3760,2680,1690,77840,1370,830,480,68900
VIC,Jan-05,24780,4100,7740,7240,12520,4000,53180,1330,1960,410,112060
VIC,Feb-05,18610,2790,5570,5010,23580,1880,62450,1880,1580,520,70260
VIC,Mar-05,24940,2780,4880,4580,5620,2060,62660,1440,1370,850,71900
VIC,Apr-05,22670,2480,4810,5020,4060,2360,42710,1260,1170,420,80240
VIC,May-05,17640,2380,4300,4150,1810,1970,37040,820,1180,210,69990
VIC,Jun-05,17860,2470,3850,4940,2880,2090,36620,900,900,520,77910
VIC,Jul-05,19600,2890,5300,6000,18710,3260,43760,1030,1610,790,112200
VIC,Aug-05,17220,2870,4600,5020,3410,2230,43820,870,1160,490,88970
VIC,Sep-05,19470,2960,4220,5970,2510,2510,37520,1430,1330,460,107160
VIC,Oct-05,25000,2760,4670,6480,3970,2260,52290,1640,1310,600,108140
VIC,Nov-05,21280,2740,3990,4700,2740,2360,62420,1610,1300,730,77480
VIC,Dec-05,20820,2540,4270,4300,2720,1820,80010,1430,770,890,74120
VIC,Jan-06,25680,4160,8780,7120,11680,4630,57120,1740,1570,580,110970
VIC,Feb-06,17450,3440,6570,4960,27400,2340,57160,1920,1600,1010,73460
VIC,Mar-06,22800,2560,4720,4240,6300,2600,58880,1850,6230,1430,76960
VIC,Apr-06,21620,2740,4920,4670,3650,2520,49620,1170,950,610,75950
VIC,May-06,18170,2520,4440,4370,1950,2310,38640,1150,720,750,73190
VIC,Jun-06,17720,2570,4770,5050,4220,2620,37850,1130,980,730,88410
VIC,Jul-06,17910,3110,6320,5910,20290,3490,42490,870,1200,1130,107240
VIC,Aug-06,16780,3150,4750,5600,4060,2530,43020,1160,1040,720,89680
VIC,Sep-06,20550,2930,4500,6410,3680,3060,43010,1830,1220,690,114930
VIC,Oct-06,21100,3040,5790,6810,5180,2890,54500,1720,1550,800,109110
VIC,Nov-06,23940,3040,4860,5150,3830,2510,60900,2020,1200,670,82430
VIC,Dec-06,22920,2640,4490,4200,3510,2320,92570,1360,1150,1030,78600
VIC,Jan-07,26570,4560,9650,7750,14250,4830,52200,2080,1880,930,121020
VIC,Feb-07,18200,2880,6290,4930,27610,2630,64530,1890,1240,1080,73890
VIC,Mar-07,22900,3520,6570,5130,8960,3090,69550,2160,1480,1140,83570
VIC,Apr-07,22970,3450,5840,5040,6020,3030,48130,1560,1210,820,93500
VIC,May-07,22640,2740,5140,4820,3220,2660,39160,1400,1320,680,81500
