Month,Year,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Total
January,1991,75630,28840,42710,4930,13790,1410,1220,1990,177410
February,1991,78340,33830,42340,5780,17410,1800,1460,3740,190570
March,1991,80520,32020,45860,6240,15450,1350,710,2270,189180
April,1991,68330,25810,42900,4950,17160,710,1860,1800,168000
May,1991,65380,24750,43100,3610,15280,890,2360,1230,161400
June,1991,64100,22550,58800,2900,12930,980,2060,1360,172230
July,1991,86770,30170,61970,3920,12380,890,2630,1960,208310
August,1991,87560,28220,55210,3240,13260,890,2630,1560,199310
September,1991,86500,27990,50130,3830,16010,780,1760,2330,197360
October,1991,90610,32860,56010,6420,15900,920,1700,2310,215970
November,1991,93940,36350,54920,5680,18140,950,1690,2390,223860
December,1991,110600,43180,62200,7560,25600,1930,2040,2970,266750
January,1992,86250,28990,50890,4180,14570,2040,700,1610,196090
February,1992,105340,40880,54510,5710,19340,1860,1430,1720,238250
March,1992,101310,31960,49420,5290,16820,1470,1310,1660,217800
April,1992,93600,28990,49590,4670,16830,1180,1460,1530,203830
May,1992,74960,23590,53270,2720,11180,950,2070,1340,175220
June,1992,71860,21900,57170,3310,14370,700,1660,1260,176940
July,1992,90140,26950,68680,4700,15710,800,2330,1950,219260
August,1992,88000,22670,58830,3110,14680,710,2580,1240,199080
September,1992,81490,22850,53420,3900,16890,510,2000,1930,190020
October,1992,95300,32340,63410,4950,18780,920,2420,1590,229320
November,1992,113730,37890,66630,6020,21790,1390,1250,1980,255040
December,1992,130290,42850,78940,8290,31030,3000,1830,2340,302400
January,1993,107530,32820,67410,4990,19130,1810,1320,1620,242760
February,1993,111900,38710,57540,5810,20000,2340,1340,2190,245460
March,1993,115310,37210,66710,7220,20380,2710,960,2080,257950
April,1993,100640,29330,64560,5050,19550,1040,1870,1490,226320
May,1993,89410,32820,66460,3390,16710,900,2150,1100,213410
June,1993,85650,22460,69530,3170,19370,610,1730,1170,204580
July,1993,112540,29150,71200,5070,18680,910,3670,2590,244620
August,1993,103620,25440,79080,3920,19780,790,3840,1280,239930
September,1993,99600,24720,65700,5940,20390,850,2950,2600,224030
October,1993,125690,31310,73480,5550,21290,1420,3200,2180,267220
November,1993,116820,42390,82340,7770,29800,1950,2660,2190,285910
December,1993,142900,51670,93050,9190,38530,3600,1940,3160,344040
January,1994,114520,38270,65050,5770,21620,2190,1640,1460,250530
February,1994,134630,43170,82990,7360,29210,2340,2270,2320,304280
